R_G [kΩ];Fehler [kΩ];U_G [V_SS];Fehler [V];f [kHz];Fehler [kHz];U_A [V_SS];Fehler [V]
680;3;0,302;0,002;0,1000;0,0002;6,44;0,04
;;;;0,400;0,001;6,44;0,04
;;;;0,800;0,002;6,40;0,04
;;;;1,000;0,002;6,36;0,04
;;;;4,000;0,001;5,16;0,04
;;;;7,000;0,014;3,90;0,02
;;;;10,00;0,02;3,10;0,02
;;;;40,00;0,02;0,864;0,005
;;;;70,00;0,05;0,512;0,005
;;;;100,0;0,2;0,362;0,002
;;;;200,0;0,2;0,188;0,002
;;;;300,0;0,5;0,128;0,001
274,0;1,4;0,302;0,002;0,1000;0,0002;2,58;0,04
;;;;0,400;0,001;2,58;0,04
;;;;0,700;0,002;2,58;0,04
;;;;1,000;0,002;2,58;0,02
;;;;4,000;0,001;2,52;0,02
;;;;7,000;0,014;2,34;0,02
;;;;10,00;0,02;2,08;0,02
;;;;40,00;0,02;0,832;0,008
;;;;70,00;0,05;0,504;0,004
;;;;100,0;0,2;0,360;0,002
;;;;200,0;0,2;0,188;0,002
;;;;300,0;0,5;0,128;0,001
48,70;0,24;1,00;0,01;0,1000;0,0002;1,51;0,01
;;;;0,400;0,001;1,51;0,01
;;;;0,700;0,002;1,51;0,01
;;;;1,000;0,002;1,51;0,01
;;;;4,000;0,001;1,54;0,02
;;;;7,000;0,014;1,52;0,02
;;;;10,00;0,02;1,51;0,01
;;;;40,00;0,02;1,32;0,01
;;;;70,00;0,05;1,04;0,02
;;;;100,0;0,2;0,982;0,008
;;;;200,0;0,2;0,476;0,008
;;;;300,0;0,5;0,408;0,008
